date,ticker,pct_change_prev_close,day_percent_change,max_day_percent_change,source,title,description,url,same_or_prev
8/30/19,AFYA,-30.2,-24.56079917,0.585601102,gnw,Afya Limited Announces the Appointment of New Independent Member of Board of Directors and Audit Committee,"NOVA LIMA, Brazil, Aug. 30, 2019 (GLOBE NEWSWIRE) -- Afya Limited, or Afya (Nasdaq: AFYA) today announced the appointment of Rafael Munerato de Almeida to its board of directors and audit committee...",https://www.globenewswire.com/news-release/2019/08/30/1909139/0/en/Afya-Limited-Announces-the-Appointment-of-New-Independent-Member-of-Board-of-Directors-and-Audit-Committee.html,same
9/10/19,DSKE,23.7,24.62686567,25,gnw,Daseke Announces Rightsizing of its Board of Directors,"ADDISON, Texas, Sept. 10, 2019 (GLOBE NEWSWIRE) -- Daseke, Inc. (NASDAQ: DSKE) (“Daseke” or the “Company”), the largest flatbed, specialized transportation and logistics solutions company in North...",https://www.globenewswire.com/news-release/2019/09/10/1913842/0/en/Daseke-Announces-Rightsizing-of-its-Board-of-Directors.html,same
10/1/19,OCGN,-23.2,-32.40740741,0.308641975,gnw,"Ocugen Appoints Sanjay S. Subramanian, MBA, as Chief Financial Officer","MALVERN, Pa., Oct. 01, 2019 (GLOBE NEWSWIRE) -- Ocugen, Inc., (NASDAQ: OCGN), a clinical stage biopharmaceutical company focused on discovering, developing and commercializing a pipeline of...",https://www.globenewswire.com/news-release/2019/10/01/1923199/0/en/Ocugen-Appoints-Sanjay-S-Subramanian-MBA-as-Chief-Financial-Officer.html,same
10/8/19,SCON,-57.6,-71.28552496,16.33043734,gnw,Superconductor Technologies Announces Pricing of $3 Million Public Offering,"AUSTIN, Texas, Oct. 08, 2019 (GLOBE NEWSWIRE) -- Superconductor Technologies Inc. (Nasdaq: SCON) (the “Company”), a Delaware company, today announced the pricing of a public offering of 12 million...",https://www.globenewswire.com/news-release/2019/10/08/1926866/8942/en/Superconductor-Technologies-Announces-Pricing-of-3-Million-Public-Offering.html,same
10/10/19,SCON,45.2,36.95652174,47.60869565,gnw,Superconductor Technologies Announces Closing of $3 Million Public Offering,"AUSTIN, Texas, Oct. 10, 2019 (GLOBE NEWSWIRE) -- Superconductor Technologies Inc. (Nasdaq: SCON) (the “Company”), a Delaware company, today announced the closing of its previously announced public...",https://www.globenewswire.com/news-release/2019/10/10/1928278/8942/en/Superconductor-Technologies-Announces-Closing-of-3-Million-Public-Offering.html,same
10/17/19,WTRH,-44.5,-38.34,0,bw,Waitr Holdings Announces Management and Board Changes,"Waitr Holdings Inc. (Nasdaq: WTRH) (“Waitr,” “we” or the “Company”) today announced that Jeff Yurecko, the Company’s current Chief Financial Officer, will resign from the position effective November 1...",http://www.businesswire.com/news/home/20191016005793/en/Waitr-Holdings-Announces-Management-and-Board-Changes,prev
10/23/19,AAC,40.9,39.95381062,57.04387991,bw,AAC Holdings Finalizing Agreement with Lenders and Finalizing Appointment of New Independent Board Members,"AAC Holdings, Inc. (NYSE: AAC) today announced that as a result of continued positive discussions with the Company’s senior secured lenders, the Company expects to enter into an agreement securing add...",http://www.businesswire.com/news/home/20191023005926/en/AAC-Holdings-Finalizing-Agreement-with-Lenders-and-Finalizing-Appointment-of-New-Independent-Board-Members,same
10/24/19,AAC,-23,-32.39130435,0,bw,AAC Holdings Finalizing Agreement with Lenders and Finalizing Appointment of New Independent Board Members,"AAC Holdings, Inc. (NYSE: AAC) today announced that as a result of continued positive discussions with the Company’s senior secured lenders, the Company expects to enter into an agreement securing add...",http://www.businesswire.com/news/home/20191023005926/en/AAC-Holdings-Finalizing-Agreement-with-Lenders-and-Finalizing-Appointment-of-New-Independent-Board-Members,prev
10/29/19,ISEE,26.5,34.375,40.625,bw,"IVERIC bio Appoints Abraham Scaria, PhD, as Chief Scientific Officer","IVERIC bio, Inc. (NASDAQ:ISEE) announced today the appointment of Abraham Scaria, PhD, to the position of Chief Scientific Officer, effective October 29, 2019. Dr. Scaria will lead the Company’s resea...",http://www.businesswire.com/news/home/20191029005606/en/IVERIC-bio-Appoints-Abraham-Scaria-PhD-as-Chief-Scientific-Officer,same
10/30/19,ISEE,65.6,76.23762376,78.21782178,bw,"IVERIC bio Appoints Abraham Scaria, PhD, as Chief Scientific Officer","IVERIC bio, Inc. (NASDAQ:ISEE) announced today the appointment of Abraham Scaria, PhD, to the position of Chief Scientific Officer, effective October 29, 2019. Dr. Scaria will lead the Company’s resea...",http://www.businesswire.com/news/home/20191029005606/en/IVERIC-bio-Appoints-Abraham-Scaria-PhD-as-Chief-Scientific-Officer,prev
11/8/19,RLH,-55.7,-23.73333333,0.533333333,gnw,Red Lion Hotel Corporation Announces CEO Resignation,"DENVER, Nov. 08, 2019 (GLOBE NEWSWIRE) -- Red Lion Hotels Corporation (the “Company”) (NYSE: RLH), today announced that its President and Chief Executive Officer, Greg Mount, resigned his position...",https://www.globenewswire.com/news-release/2019/11/08/1943955/30180/en/Red-Lion-Hotel-Corporation-Announces-CEO-Resignation.html,same
12/3/19,CLXT,28.8,28.76712329,40.82191781,bw,Calyxt Appoints Vince Restucci as Vice President of Agronomy Services to Accelerate Expansion,"Calyxt, Inc. (NASDAQ: CLXT), a plant-based technology company focused on healthy food ingredients, has appointed Vince Restucci in a newly created role as Vice President of Agronomy Services to suppor...",http://www.businesswire.com/news/home/20191203005335/en/Calyxt-Appoints-Vince-Restucci-as-Vice-President-of-Agronomy-Services-to-Accelerate-Expansion,same
12/16/19,TA,24.4,20.87431694,21.96721312,bw,TravelCenters of America Inc. Appoints Jonathan Pertchik as Chief Executive Officer and Managing Director,TravelCenters of America Inc. (Nasdaq: TA) today announced that Jonathan M. Pertchik has been appointed as Chief Executive Officer and Managing Director effective immediately. Mr. Pertchik succeeds An...,http://www.businesswire.com/news/home/20191216005184/en/TravelCenters-of-America-Inc.-Appoints-Jonathan-Pertchik-as-Chief-Executive-Officer-and-Managing-Director,same
12/27/19,MIK,32.9,24.03100775,37.98449612,bw,The Michaels Companies Appoints Ashley Buchanan as New CEO,"The Michaels Companies, Inc. (NASDAQ: MIK) today announced that Ashley Buchanan, an experienced retail executive from Walmart, has been named President and Chief Executive Officer Designate and appoin...",http://www.businesswire.com/news/home/20191227005036/en/The-Michaels-Companies-Appoints-Ashley-Buchanan-as-New-CEO,same
1/28/20,VISL,24.5,22.79240253,28.45718094,gnw,Vislink Technologies Appoints Brian Krolicki to its Board of Directors,"HACKETTSTOWN, NJ, Jan. 28, 2020 (GLOBE NEWSWIRE) -- Vislink Technologies, Inc. (“Vislink” or the “Company”) (NASDAQ: VISL) announced today that Brian Krolicki has been appointed to its board as a...",https://www.globenewswire.com/news-release/2020/01/28/1976420/0/en/Vislink-Technologies-Appoints-Brian-Krolicki-to-its-Board-of-Directors.html,same
1/30/20,DTSS,48.7,38.82282102,150.3888805,gnw,Datasea Announces Cooperation with Dragon Gate Investment Partners,"New York, Jan. 30, 2020 (GLOBE NEWSWIRE) -- Datasea Inc. (NASDAQ: DTSS) (""Datasea"" or the ""Company""), a technology company engaged in providing smart security solutions and developing...",https://www.globenewswire.com/news-release/2020/01/30/1977526/0/en/Datasea-Announces-Cooperation-with-Dragon-Gate-Investment-Partners.html,same
2/21/20,UNT,37,34.08571429,35.71428571,bw,"Unit Corporation Announces David T. Merrill to Succeed Larry D. Pinkston as Chief Executive Officer on April 1, 2020","Unit Corporation (NYSE: UNT) today announced that as part of the company’s succession planning process initiated in 2017, David T. Merrill was elected to succeed Larry D. Pinkston as the company’s Chi...",http://www.businesswire.com/news/home/20200221005064/en/Unit-Corporation-Announces-David-T.-Merrill-to-Succeed-Larry-D.-Pinkston-as-Chief-Executive-Officer-on-April-1-2020,same
3/11/20,FLGT,-34,-30.62068966,0,gnw,Fulgent Genetics Announces Promotion of Brandon Perthuis to Chief Commercial Officer,"TEMPLE CITY, Calif., March 10, 2020 (GLOBE NEWSWIRE) -- Fulgent Genetics, Inc. (NASDAQ: FLGT) (“Fulgent Genetics” or the “company”), a provider of comprehensive genetic testing and Next Generation...",https://www.globenewswire.com/news-release/2020/03/10/1997926/0/en/Fulgent-Genetics-Announces-Promotion-of-Brandon-Perthuis-to-Chief-Commercial-Officer.html,prev
3/12/20,MEC,-29.3,-32.49158249,0,bw,MEC Announces Chief Operating Officer Transition,"Mayville Engineering Company (NYSE: MEC) (the “Company” or “MEC”), a leading U.S.-based value-added manufacturing partner that provides a broad range of prototyping and tooling, production fabrication...",http://www.businesswire.com/news/home/20200312005769/en/MEC-Announces-Chief-Operating-Officer-Transition,same
3/13/20,IFMK,33.7,27.38147984,42.88879043,gnw,IFresh Appoints New Chief Financial Officer,"NEW YORK, March 12, 2020 (GLOBE NEWSWIRE) -- iFresh, Inc. (""iFresh"" or the “Company"") (Nasdaq: IFMK), a leading Asian American grocery supermarket chain and online grocer, announced today that it...",https://www.globenewswire.com/news-release/2020/03/12/1999490/0/en/IFresh-Appoints-New-Chief-Financial-Officer.html,prev
3/17/20,CATS,30.9,24.74032106,25.87346553,bw,"Brandon H. LaVerne, Chief Financial Officer of $2.2 Billion Technology Solutions Provider, PCM, Inc., Joins Catasys as Chief Financial Officer","Catasys, Inc. (NASDAQ: CATS) (“Catasys” or the “Company”), a leading AI and telehealth enabled, virtualized outpatient healthcare treatment company, today announced the appointment of Mr. Brandon H. L...",http://www.businesswire.com/news/home/20200317005141/en/Brandon-H.-LaVerne-Chief-Financial-Officer-of-2.2-Billion-Technology-Solutions-Provider-PCM-Inc.-Joins-Catasys-as-Chief-Financial-Officer,same
3/18/20,CRAI,-25.9,-21.51061608,3.028193526,bw,Richard D. Booth Joins Charles River Associates (CRA) Board of Directors,"Charles River Associates (NASDAQ: CRAI), a worldwide leader in providing economic, financial, and management consulting services, announced that its Board of Directors has appointed Richard D. Booth a...",http://www.businesswire.com/news/home/20200318005367/en/Richard-D.-Booth-Joins-Charles-River-Associates-CRA-Board-of-Directors,same
3/18/20,CNTG,57.5,37.97101449,53.04347826,gnw,CENTOGENE Announces Changes in Supervisory Board,"CAMBRIDGE, Mass. and ROSTOCK, Germany and BERLIN, March 17, 2020 (GLOBE NEWSWIRE) -- CENTOGENE N.V. (Nasdaq: CNTG), a commercial-stage company focused on rare diseases that transforms real-world...",https://www.globenewswire.com/news-release/2020/03/17/2002168/0/en/CENTOGENE-Announces-Changes-in-Supervisory-Board.html,prev
3/19/20,MRCC,43.2,44.93927126,54.65587045,gnw,"Monroe Capital Corporation Announces Share Purchases by Officers, Directors and Senior Management","CHICAGO, March 18, 2020 (GLOBE NEWSWIRE) -- Monroe Capital Corporation (the “Company”) (NASDAQ: MRCC) today reported the purchase of more than 237,500 shares of MRCC common stock by officers and...",https://www.globenewswire.com/news-release/2020/03/18/2002907/23734/en/Monroe-Capital-Corporation-Announces-Share-Purchases-by-Officers-Directors-and-Senior-Management.html,prev
3/26/20,LADR,92.5,75,150.9803922,bw,"Ladder Announces Michael Mazzei Has Been Appointed as Chief Executive Officer and President of Colony Credit Real Estate, Inc.","Ladder Capital Corp (“Ladder” or the “Company”) (NYSE: LADR) announced today that Michael Mazzei, a member of the Company’s board of directors, has been appointed as the Chief Executive Officer and Pr...",http://www.businesswire.com/news/home/20200326005695/en/Ladder-Announces-Michael-Mazzei-Has-Been-Appointed-as-Chief-Executive-Officer-and-President-of-Colony-Credit-Real-Estate-Inc.,same
3/26/20,CLNC,56.3,52.36768802,60.44568245,bw,"Colony Credit Real Estate, Inc. Announces Michael J. Mazzei as Chief Executive Officer and President","Colony Credit Real Estate, Inc. (NYSE: CLNC) (“Colony Credit Real Estate” or the “Company”) announced today that effective April 1, 2020, Michael J. Mazzei will be appointed Chief Executive Officer an...",http://www.businesswire.com/news/home/20200326005682/en/Colony-Credit-Real-Estate-Inc.-Announces-Michael-J.-Mazzei-as-Chief-Executive-Officer-and-President,same
4/9/20,RRD,30.8,24.7706422,32.11009174,bw,RRD Appoints Lisa Pruett to President of North America Packaging Solutions,"R.R. Donnelley & Sons Company (RRD) (NYSE: RRD), a leading global provider of multichannel solutions for marketing and business communications, today announced the appointment of Lisa Pruett to Pr...",http://www.businesswire.com/news/home/20200409005170/en/RRD-Appoints-Lisa-Pruett-to-President-of-North-America-Packaging-Solutions,same
4/13/20,XSPA,45.2,40.61872238,42.58738449,gnw,XpresSpa Appoints Doctor Lewis Lipsey as First Chief Medical Director for Its XpresTest Subsidiary,"NEW YORK, April 13, 2020 (GLOBE NEWSWIRE) -- XpresSpa Group, Inc. (Nasdaq: XSPA) (“XpresSpa” or the “Company”), a health and wellness company, announced today that Lewis Lipsey, MD, has joined the...",https://www.globenewswire.com/news-release/2020/04/13/2015101/0/en/XpresSpa-Appoints-Doctor-Lewis-Lipsey-as-First-Chief-Medical-Director-for-Its-XpresTest-Subsidiary.html,same
5/6/20,RMBL,41.1,30.95238095,57.14285714,bw,RumbleOn Appoints Michael Marchlik to its Board of Directors,"RumbleOn, Inc (NASDAQ: RMBL), the e-commerce company using innovative technology to simplify how dealers and consumers buy, sell, trade or finance pre-owned vehicles, today announced the appointment o...",http://www.businesswire.com/news/home/20200506005954/en/RumbleOn-Appoints-Michael-Marchlik-to-its-Board-of-Directors,same
7/10/20,SUP,22.9,29.11392405,33.5443038,bw,Superior Announces Departure of Chief Financial Officer,"Superior Industries International, Inc. (NYSE:SUP), one of the world’s leading aluminum wheel suppliers for OEMs and the European aftermarket, today announced that Matti Masanovich has resigned from h...",http://www.businesswire.com/news/home/20200709005944/en/Superior-Announces-Departure-of-Chief-Financial-Officer,prev
7/13/20,NXTC,-54.4,-35.92767296,1.965408805,gnw,NextCure Provides an Interim Update of the Phase 2 Portion of the NC318 Monotherapy Phase 1/2 Trial and Announces Departure of Chief Medical Officer,"BELTSVILLE, Md., July 13, 2020 (GLOBE NEWSWIRE) -- NextCure, Inc. (Nasdaq: NXTC), a clinical-stage biopharmaceutical company committed to discovering and developing novel, first-in-class...",https://www.globenewswire.com/news-release/2020/07/13/2061067/0/en/NextCure-Provides-an-Interim-Update-of-the-Phase-2-Portion-of-the-NC318-Monotherapy-Phase-1-2-Trial-and-Announces-Departure-of-Chief-Medical-Officer.html,same
7/13/20,NXTC,-54.4,-36.07843137,1.725490196,gnw,NextCure Provides an Interim Update of the Phase 2 Portion of the NC318 Monotherapy Phase 1/2 Trial and Announces Departure of Chief Medical Officer,"BELTSVILLE, Md., July 13, 2020 (GLOBE NEWSWIRE) -- NextCure, Inc. (Nasdaq: NXTC), a clinical-stage biopharmaceutical company committed to discovering and developing novel, first-in-class...",https://www.globenewswire.com/news-release/2020/07/13/2061067/0/en/NextCure-Provides-an-Interim-Update-of-the-Phase-2-Portion-of-the-NC318-Monotherapy-Phase-1-2-Trial-and-Announces-Departure-of-Chief-Medical-Officer.html,same
7/15/20,SALM,30.2,30.58035714,80.80357143,bw,Salem Host Appointed by President Trump,"Salem Media Group, Inc. (Nasdaq: SALM) announced today that President Donald Trump has appointed Salem Radio Network host Dr. Sebastian Gorka to the National Security Education Board. The board provid...",http://www.businesswire.com/news/home/20200715005872/en/Salem-Host-Appointed-by-President-Trump,same
9/9/20,AEHR,-23.8,-25,0,gnw,Aehr Test Systems announces changes to its Board of Directors,"FREMONT, Calif., Sept. 09, 2020 (GLOBE NEWSWIRE) -- Aehr Test Systems (NASDAQ: AEHR), a worldwide supplier of semiconductor test and reliability qualification equipment, today announced it has...",https://www.globenewswire.com/news-release/2020/09/09/2090787/11245/en/Aehr-Test-Systems-announces-changes-to-its-Board-of-Directors.html,same
