date,ticker,pct_change_prev_close,day_percent_change,max_day_percent_change,source,title,description,url,same_or_prev,date_time_story,nltk_pos_minus_neg_title,nltk_pos_minus_neg_description,nltk_pos_minus_neg_article,nltk_compound_title,nltk_compound_description,nltk_compound_article,tb_polarity_title,tb_polarity_description,tb_polarity_article,stanza_sentiment_article,open_price,close_price,percent_change,max_percent_change,volume,average_volume
10/1/19,OCGN,-23.2,-32.40740741,0.308641975,gnw,"Ocugen Appoints Sanjay S. Subramanian, MBA, as Chief Financial Officer","MALVERN, Pa., Oct. 01, 2019 (GLOBE NEWSWIRE) -- Ocugen, Inc., (NASDAQ: OCGN), a clinical stage biopharmaceutical company focused on discovering, developing and commercializing a pipeline of...",https://www.globenewswire.com/news-release/2019/10/01/1923199/0/en/Ocugen-Appoints-Sanjay-S-Subramanian-MBA-as-Chief-Financial-Officer.html,same,10/01/2019 07:30,0.0,0.102,0.115,0.0,0.3818,0.9871,0.0,0.0,0.2685185185185185,0.4166666666666667,3.24,2.19,-0.3240740740740741,0.0030864197530863537,1869131,26238040
10/29/19,ISEE,26.5,34.375,40.625,bw,"IVERIC bio Appoints Abraham Scaria, PhD, as Chief Scientific Officer","IVERIC bio, Inc. (NASDAQ:ISEE) announced today the appointment of Abraham Scaria, PhD, to the position of Chief Scientific Officer, effective October 29, 2019. Dr. Scaria will lead the Company’s resea...",http://www.businesswire.com/news/home/20191029005606/en/IVERIC-bio-Appoints-Abraham-Scaria-PhD-as-Chief-Scientific-Officer,same,10/29/2019 08:30,0.0,0.097,0.082,0.0,0.4767,0.9799,0.0,0.6,0.24579667644183775,0.35714285714285715,1.6,2.15,0.3437499999999999,0.40624999999999994,5661264,439695
12/3/19,CLXT,28.8,28.76712329,40.82191781,bw,Calyxt Appoints Vince Restucci as Vice President of Agronomy Services to Accelerate Expansion,"Calyxt, Inc. (NASDAQ: CLXT), a plant-based technology company focused on healthy food ingredients, has appointed Vince Restucci in a newly created role as Vice President of Agronomy Services to suppor...",http://www.businesswire.com/news/home/20191203005335/en/Calyxt-Appoints-Vince-Restucci-as-Vice-President-of-Agronomy-Services-to-Accelerate-Expansion,same,12/03/2019 08:31,0.0,0.226,0.083,0.0,0.743,0.9615,0.0,0.3181818181818182,0.1282539682539683,0.18181818181818182,3.65,4.7,0.2876712328767124,0.4082191780821917,2797184,170616
12/16/19,TA,24.4,20.87431694,21.96721312,bw,TravelCenters of America Inc. Appoints Jonathan Pertchik as Chief Executive Officer and Managing Director,TravelCenters of America Inc. (Nasdaq: TA) today announced that Jonathan M. Pertchik has been appointed as Chief Executive Officer and Managing Director effective immediately. Mr. Pertchik succeeds An...,http://www.businesswire.com/news/home/20191216005184/en/TravelCenters-of-America-Inc.-Appoints-Jonathan-Pertchik-as-Chief-Executive-Officer-and-Managing-Director,same,12/16/2019 06:59,0.0,0.195,0.151,0.0,0.743,0.9953,0.0,0.6499999999999999,0.2422043010752688,0.38461538461538464,9.15,11.06,0.2087431693989071,0.21967213114754094,334431,111378
1/28/20,VISL,24.5,22.79240253,28.45718094,gnw,Vislink Technologies Appoints Brian Krolicki to its Board of Directors,"HACKETTSTOWN, NJ, Jan. 28, 2020 (GLOBE NEWSWIRE) -- Vislink Technologies, Inc. (“Vislink” or the “Company”) (NASDAQ: VISL) announced today that Brian Krolicki has been appointed to its board as a...",https://www.globenewswire.com/news-release/2020/01/28/1976420/0/en/Vislink-Technologies-Appoints-Brian-Krolicki-to-its-Board-of-Directors.html,same,01/28/2020 16:30,0.0,0.0,0.13,0.0,0.0,0.9902,0.0,0.0,0.1899891774891775,0.45454545454545453,1.8006,2.211,0.22792402532489164,0.2845718093968678,4045620.6666666665,6632483
1/30/20,DTSS,48.7,38.82282102,150.3888805,gnw,Datasea Announces Cooperation with Dragon Gate Investment Partners,"New York, Jan. 30, 2020 (GLOBE NEWSWIRE) -- Datasea Inc. (NASDAQ: DTSS) (""Datasea"" or the ""Company""), a technology company engaged in providing smart security solutions and developing...",https://www.globenewswire.com/news-release/2020/01/30/1977526/0/en/Datasea-Announces-Cooperation-with-Dragon-Gate-Investment-Partners.html,same,01/30/2020 08:30,0.0,0.302,0.259,0.0,0.8176,0.994,0.0,0.17532467532467533,0.2541743970315399,0.5,1.9929,2.7666,0.38822821014601844,1.5038888052586685,3383712,51830
3/18/20,CRAI,-25.9,-21.51061608,3.028193526,bw,Richard D. Booth Joins Charles River Associates (CRA) Board of Directors,"Charles River Associates (NASDAQ: CRAI), a worldwide leader in providing economic, financial, and management consulting services, announced that its Board of Directors has appointed Richard D. Booth a...",http://www.businesswire.com/news/home/20200318005367/en/Richard-D.-Booth-Joins-Charles-River-Associates-CRA-Board-of-Directors,same,03/18/2020 08:30,0.0,0.0,0.083,0.0,0.0,0.9559,0.0,0.1,0.157843137254902,0.2222222222222222,28.73,22.55,-0.21510616080751827,0.03028193525931086,49132,57840
3/26/20,LADR,92.5,75,150.9803922,bw,"Ladder Announces Michael Mazzei Has Been Appointed as Chief Executive Officer and President of Colony Credit Real Estate, Inc.","Ladder Capital Corp (“Ladder” or the “Company”) (NYSE: LADR) announced today that Michael Mazzei, a member of the Company’s board of directors, has been appointed as the Chief Executive Officer and Pr...",http://www.businesswire.com/news/home/20200326005695/en/Ladder-Announces-Michael-Mazzei-Has-Been-Appointed-as-Chief-Executive-Officer-and-President-of-Colony-Credit-Real-Estate-Inc.,same,03/26/2020 16:05,0.126,0.0,0.154,0.3818,0.0,0.9571,0.2,0.0,0.14205948372615038,0.2,4.08,7.14,0.7499999999999999,1.5098039215686274,20254276,812471
3/26/20,CLNC,56.3,52.36768802,60.44568245,bw,"Colony Credit Real Estate, Inc. Announces Michael J. Mazzei as Chief Executive Officer and President","Colony Credit Real Estate, Inc. (NYSE: CLNC) (“Colony Credit Real Estate” or the “Company”) announced today that effective April 1, 2020, Michael J. Mazzei will be appointed Chief Executive Officer an...",http://www.businesswire.com/news/home/20200326005682/en/Colony-Credit-Real-Estate-Inc.-Announces-Michael-J.-Mazzei-as-Chief-Executive-Officer-and-President,same,03/26/2020 16:01,0.157,0.229,0.16699999999999998,0.3818,0.8074,0.9957,0.2,0.3333333333333333,0.14460565476190476,0.25,3.59,5.47,0.5236768802228412,0.6044568245125348,1729457,383305
4/9/20,RRD,30.8,24.7706422,32.11009174,bw,RRD Appoints Lisa Pruett to President of North America Packaging Solutions,"R.R. Donnelley & Sons Company (RRD) (NYSE: RRD), a leading global provider of multichannel solutions for marketing and business communications, today announced the appointment of Lisa Pruett to Pr...",http://www.businesswire.com/news/home/20200409005170/en/RRD-Appoints-Lisa-Pruett-to-President-of-North-America-Packaging-Solutions,same,04/09/2020 09:00,0.145,0.061,0.122,0.1779,0.1779,0.9796,0.0,0.0,0.14722222222222223,0.1,1.09,1.36,0.2477064220183486,0.3211009174311925,2579651,972340
